PID,Address,LotArea,FullBath,BedroomAbvGr,finishedsqft,DateSold,MoSold,YrSold,price,Neighborhood,totalrooms,BldgType,YrBuilt, zestimate ,zindexvalue,Zipcode,Longitude,Latitude
11044,521 Liberty St,2495,2,3,1608,9/25/2013,9,2013,2700000,Eureka Valley - Dolores Heights - Castro,6,SingleFamily,1900,"2,339,347.00","1,718,500",94114,-122.432858,37.75677
11045,2339 35th Ave,3005,1,2,1169,7/31/2012,7,2012,571000,Parkside,6,SingleFamily,1925,"1,107,361.00","1,094,000",94116,-122.493242,37.743385
11046,1733 Rivera St,2500,1,3,1300,7/21/2006,7,2006,819000,Parkside,6,SingleFamily,1946,"1,145,046.00","1,094,000",94116,-122.48513,37.746129
11047,2630 46th Ave,2996,2.5,3,1450,7/31/2012,7,2012,705000,Outer Parkside,7,SingleFamily,1940,"886,629.00","982,900",94116,-122.503987,37.737439
11048,2554 35th Ave,3000,2,4,1931,7/31/2012,7,2012,820000,Parkside,7,SingleFamily,1939,"1,396,481.00","1,094,000",94116,-122.492305,37.739413
11049,560 Haight St APT 102,2614,2,2,1034,12/3/2015,12,2015,1175000,Hayes Valley,5,Condominium,2001,"1,385,555.00","1,202,900",94117,-122.43137,37.772335
11050,576 Waller St,3485,1,2,1200,7/31/2012,7,2012,875000,Hayes Valley,4,Condominium,1900,"1,111,017.00","1,202,900",94117,-122.43328,37.77092
11051,616 Baker St,2387,2,3,1490,8/15/2014,8,2014,1300000,North Panhandle,5,SingleFamily,1910,"2,033,639.00","1,211,900",94117,-122.441212,37.776774
11052,855 La Playa St APT 260,8712,2,2,1178,7/31/2012,7,2012,499000,Outer Richmond,4,Condominium,1982,"766,553.00","1,187,700",94121,-122.510375,37.772199
11053,835 41st Ave,3000,3.5,4,1901,1/17/2013,1,2013,1200000,Outer Richmond,8,SingleFamily,1925,"1,358,019.00","1,187,700",94121,-122.501739,37.77295
11054,3621 Clement St,3666,2,3,2400,7/31/2012,7,2012,700000,Outer Richmond,9,SingleFamily,1924,"2,100,631.00","1,187,700",94121,-122.498012,37.781157
11055,3231-3233 Cabrillo St,2500,2,0,2495,7/31/2012,7,2012,1125000,Outer Richmond,10,MultiFamily2To4,1923,"1,612,305.00","1,187,700",94121,-122.493457,37.773772
11056,1531 17th Ave,2996,3.5,5,2350,7/31/2012,7,2012,950000,Inner Sunset,9,SingleFamily,1930,"1,631,272.00","1,348,400",94122,-122.475007,37.759277
